,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
39,2019,Bradley Beal,SG,25,WAS,82,82,3028,9.1,19.1,0.475,2.5,7.1,0.35100000000000003,6.6,12.0,0.5479999999999999,4.3,5.3,0.8079999999999999,1.1,3.8,4.9,5.3,1.4,0.7,2.7,2.7,25.0,No_Honors,First
121,2019,Stephen Curry,PG,30,GSW,69,69,2331,9.8,20.7,0.47200000000000003,5.5,12.5,0.43700000000000006,4.3,8.2,0.525,4.1,4.4,0.9159999999999999,0.7,5.0,5.7,5.6,1.4,0.4,3.0,2.6,29.1,First,No_Honors
123,2019,Anthony Davis,C,25,NOP,56,56,1850,10.3,20.0,0.517,0.9,2.8,0.331,9.4,17.1,0.547,6.7,8.4,0.794,3.4,9.7,13.1,4.2,1.7,2.6,2.2,2.6,28.3,No_Honors,First
147,2019,Kevin Durant,SF,30,GSW,78,78,2702,9.6,18.4,0.521,1.8,5.2,0.353,7.8,13.3,0.5870000000000001,6.0,6.7,0.885,0.4,6.2,6.6,6.1,0.8,1.1,3.0,2.1,27.0,Second,First
194,2019,Paul George,SF,28,OKC,77,77,2841,9.0,20.5,0.43799999999999994,3.7,9.6,0.386,5.3,10.9,0.484,5.7,6.8,0.8390000000000001,1.3,6.6,8.0,4.0,2.2,0.4,2.6,2.7,27.4,First,No_Honors
198,2019,Rudy Gobert,C,26,UTA,81,80,2577,6.6,9.9,0.669,0.0,0.0,,6.6,9.9,0.669,4.6,7.3,0.636,4.3,10.2,14.5,2.2,0.9,2.6,1.8,3.2,17.9,Third,First
215,2019,Blake Griffin,PF,29,DET,75,75,2622,8.5,18.4,0.462,2.6,7.2,0.36200000000000004,5.9,11.2,0.525,5.7,7.6,0.753,1.4,6.4,7.8,5.5,0.7,0.4,3.5,2.7,25.3,Third,No_Honors
275,2019,Kyrie Irving,PG,26,BOS,67,67,2214,9.8,20.2,0.48700000000000004,2.8,7.1,0.401,7.0,13.1,0.5329999999999999,3.5,4.0,0.873,1.2,4.3,5.4,7.5,1.7,0.6,2.8,2.7,26.0,Second,No_Honors
286,2019,LeBron James,SF,34,LAL,55,55,1937,10.4,20.4,0.51,2.1,6.1,0.33899999999999997,8.3,14.3,0.5820000000000001,5.2,7.8,0.665,1.1,7.6,8.6,8.4,1.3,0.6,3.7,1.7,28.0,Third,First
307,2019,Nikola Jokić,C,23,DEN,80,80,2504,8.9,17.3,0.511,1.2,3.9,0.307,7.7,13.5,0.569,4.2,5.1,0.821,3.3,9.2,12.4,8.3,1.6,0.8,3.6,3.3,23.1,First,Second
351,2019,Kawhi Leonard,SF,27,TOR,60,60,2040,9.9,19.9,0.496,2.0,5.3,0.371,7.9,14.6,0.542,6.4,7.5,0.8540000000000001,1.4,6.4,7.7,3.5,1.9,0.4,2.1,1.5,28.2,Second,No_Honors
601,2019,Karl-Anthony Towns,C,23,MIN,77,77,2545,9.6,18.6,0.518,2.0,5.0,0.4,7.6,13.6,0.562,5.3,6.4,0.836,3.7,9.8,13.5,3.7,0.9,1.8,3.4,4.1,26.6,No_Honors,Second
615,2019,Nikola Vučević,C,28,ORL,80,80,2510,10.1,19.4,0.518,1.2,3.3,0.364,8.8,16.1,0.5489999999999999,2.6,3.3,0.789,3.2,10.6,13.8,4.4,1.2,1.3,2.3,2.3,23.9,No_Honors,Second
